id,x,y,ra,dec,SEflags,iso_area,fap_Ksall,eap_Ksall,apcorr,Ks_ratio,fapcirc09_Ksall,eapcirc09_Ksall,apcorr09,fcirc09_Ksall,ecirc09_Ksall,fauto_Ksall,flux50_radius,a_vector,b_vector,kron_radius,f_Ksall,e_Ksall,w_Ksall,f_u,e_u,w_u,f_B,e_B,w_B,f_V,e_V,w_V,f_R,e_R,w_R,f_i,e_i,w_i,f_z,e_z,w_z,f_J1,e_J1,w_J1,f_J2,e_J2,w_J2,f_J3,e_J3,w_J3,f_Hs,e_Hs,w_Hs,f_Hl,e_Hl,w_Hl,f_Ks,e_Ks,w_Ks,f_J,e_J,w_J,f_H,e_H,w_H,f_K,e_K,w_K,f_KsHI,e_KsHI,w_KsHI,f_F125W,e_F125W,w_F125W,f_F140W,e_F140W,w_F140W,f_F160W,e_F160W,w_F160W,f_F606W,e_F606W,w_F606W,f_F814W,e_F814W,w_F814W,f_Y,e_Y,w_Y,f_IRAC_36,e_IRAC_36,w_IRAC_36,f_IRAC_45,e_IRAC_45,w_IRAC_45,f_IRAC_58,e_IRAC_58,w_IRAC_58,f_IRAC_80,e_IRAC_80,w_IRAC_80,wmin_optical,wmin_hst_optical,wmin_fs,wmin_jhk,wmin_hst,wmin_irac,wmin_all,star,nearstar,use,snr,use_nosnr,z_spec,z_peak,f24,e24,Messias Selection,Lacy Selection,Donley Selection
1271,3139.216,430.195,34.2979164,-5.2987609,3,209.0,4.090831,0.07459414,1.061427,2.596496,3.548634,0.07543122,1.771907,6.287851,0.1336571,10.00712,3.884,3.936,3.047,10.389,10.62183,0.3518022,0.75,0.1618622445,0.08758649016,1.0,0.19764186839999998,0.015090192719999998,1.0,0.2836985035,0.018499474749999998,1.0,0.41420732959999995,0.023690966079999997,1.0,0.7763436954,0.02406323976,1.0,1.2086911980000001,0.06662078728,1.0,2.9753756140000003,0.4152986584000001,0.2,3.0902912459999996,0.38280367439999996,0.19,4.4095743579999995,0.46664002639999996,0.18,7.20158,0.639751,0.26,8.605635426,0.6744803499,0.25,10.112832135,1.0117543439999999,0.32,4.573332582,0.1871939748,1.0,7.053962427,0.3818240892,1.0,10.89873009,0.2256801561,1.1,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,21.423645436,0.14471976330000003,0.97,27.061479648000002,0.15926519224000002,1.1,20.476262798999997,3.6033656022,1.0,21.289032776,4.0424920555,1.0,1.0,0.0,0.18,0.0,0.0,1.0,0.75,0,0,1,47.04464,1,-99.0,1.6026,42.53,11.9,0,1,
1349,2606.154,447.794,34.3202248,-5.2980313,3,257.0,5.963358,0.07314558,1.054305,2.89867,4.771308,0.0739664,1.771907,8.454315,0.1310616,16.39545,4.374,3.995,3.371,11.009,17.28581,0.3671616,0.78,0.144420882,0.09726839849999999,1.0,0.18015819479999998,0.016869013199999998,1.0,0.297799498,0.020739050749999998,1.0,0.46593316799999995,0.026402775999999996,1.0,0.6472345404000001,0.026776052100000003,1.0,1.2586861619999998,0.07448710122,1.0,1.0898029720000002,0.6198178190000001,0.11,3.095785161,0.5105397654,0.13,4.691353895,0.6427733626,0.12,8.13845,0.873974,0.17,8.887086423,1.0338187248,0.13,20.0656926,1.4410424999999998,0.2,3.9919153400000003,0.20990769939999998,1.0,9.702480676999999,0.4277961797,1.0,17.940249090000002,0.2530871838,1.1,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,38.372382793,0.15054757087999998,1.12,49.709628668,0.19217282392,1.03,51.575964191999994,4.116532899599999,1.0,53.557196664,4.9791809407,1.0,1.0,0.0,0.11,0.0,0.0,1.0,0.78,0,0,1,64.50643,1,-99.0,2.1334,133.5,9.969000000000001,0,1,
1363,925.832,479.013,34.3905411,-5.2967362,3,327.0,9.031694,0.07951763,1.049134,2.626737,7.49832,0.08040995,1.771907,13.28633,0.142479,22.61283,4.058,4.068,3.631,11.53,23.72389,0.4196708,0.66,0.18262546649999997,0.08924025135,1.0,0.6557586768,0.015200025479999999,1.0,1.036009052,0.0187748272,1.0,1.3203768959999997,0.02400960064,1.0,1.7232468120000002,0.024357057480000003,1.0,2.265239448,0.06818098183999999,1.0,3.1871916120000003,0.35294743600000006,0.28,4.270836024,0.3028050837,0.3,7.347872044000001,0.3882005119,0.27,11.2094,0.54672,0.35,13.72333428,0.5569166232,0.34,25.119231899999996,0.9817179134999998,0.36,6.210973146000001,0.1914470964,1.0,14.01554984,0.3876105078,1.0,24.752786760000003,0.24124328550000002,1.02,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,45.742434866,0.17548530879,1.07,57.688832852000004,0.19283823860000002,1.08,72.238903122,3.5594364047999996,1.0,46.14710269700001,4.518726621200001,1.0,1.0,0.0,0.27,0.0,0.0,1.0,0.66,0,0,1,93.25115,1,-99.0,2.2602,134.7,12.65,0,1,
1445,2026.17,480.669,34.3444939,-5.2966642,0,192.0,5.690551,0.07314558,1.0773,2.259975,5.027764,0.0739664,1.771907,8.908732,0.1310616,11.93771,3.41,3.273,2.929,9.289,12.86051,0.3063917,0.78,0.4055292795,0.07618015910999999,1.0,0.7315947827999999,0.013100103719999999,1.0,0.9762189975,0.016250923349999998,1.0,0.9732287871999998,0.020523461119999996,1.0,1.328299308,0.020915388899999998,1.0,1.9030357249999998,0.05829328878,1.0,2.304885026,0.29265061280000004,0.3,4.20022638,0.25739248499999995,0.31,6.39285352,0.323032949,0.29,8.6105,0.460717,0.37,8.942876118000001,0.4768597035,0.36,14.867198249999998,0.7764422069999999,0.42,5.317932956,0.16427262739999998,1.0,9.113995939999999,0.333221708,1.0,13.494379680000002,0.19962231300000002,1.09,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,26.05843814,0.1503788991,0.9,32.026156792,0.15782711056,1.01,32.611241621999994,3.3578062490999994,1.0,24.710120872,4.8420199532,1.0,1.0,0.0,0.29,0.0,0.0,1.0,0.78,0,0,1,67.97363,1,-99.0,1.9885,119.0,10.75,0,1,
1469,3129.212,571.211,34.298336,-5.2928848,2,1168.0,168.695,0.07222547,1.032963,2.540281,154.1307,0.07303596,1.771907,273.1053,0.1294129,414.8577,3.837,4.835,4.295,13.671,428.5327,0.4597736,0.8,7.033291833,0.0855887661,1.0,11.688512039999999,0.0147910356,1.0,27.90120625,0.01812870525,1.0,53.973878719999995,0.023222538079999997,1.0,77.10469347,0.02355170664,1.0,114.26406970000001,0.06527579886000001,1.0,139.56067000000002,0.22791740340000002,0.64,157.0427901,0.20781272609999998,0.63,213.65133930000002,0.2463018063,0.6,279.777,0.375183,0.72,315.793458,0.4044644307,0.67,439.9752674999999,0.636209097,0.77,203.6255368,0.18339279979999998,1.0,326.869683,0.3739950803,1.0,447.0773373,0.22192925400000002,1.09,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,337.25797623,0.14854721924,0.91,329.77499198,0.16701928936000002,1.04,289.3508028,3.4633333061999996,1.0,681.56311185,4.088842172300001,1.0,1.0,0.0,0.6,0.0,0.0,1.0,0.8,0,0,1,2110.34,1,-99.0,0.4206,1160.0,11.54,0,1,
1501,2985.324,498.614,34.3043556,-5.2959113,0,198.0,4.503288,0.07361902,1.069617,2.448407,3.880791,0.07444515,1.771907,6.876401,0.1319099,10.30826,3.667,3.697,2.874,9.779,11.02588,0.3255267,0.77,0.25920616890000003,0.08235164922,1.0,0.19148742719999998,0.014254299359999998,1.0,0.319282759,0.01746901335,1.0,0.29186842879999997,0.02235804256,1.0,0.4236074808,0.02266230981,1.0,0.9165883274,0.06286896696,1.0,0.9579328648000001,0.2918021914,0.36,1.4727594419999999,0.26291309939999996,0.36,3.0356178650000003,0.3179434671,0.34,5.09513,0.467048,0.43,5.743732653,0.4907983374,0.42,13.087856399999998,0.7872941609999999,0.47,2.382880584,0.1768820424,1.0,5.581750831000001,0.36079943880000004,1.0,11.455611840000001,0.2131173261,1.1,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,23.442184927,0.12983068308,0.95,29.792770504000003,0.15551627336,1.06,39.04840442399999,3.5346742959,1.0,31.812636275000003,3.9034670515,1.0,1.0,0.0,0.34,0.0,0.0,1.0,0.77,0,0,1,52.12954,1,-99.0,2.2134,179.0,10.52,0,1,
1566,2588.992,532.012,34.3209419,-5.2945218,2,315.0,7.625676,0.07410177,1.038427,2.949249,6.44364,0.07493332,1.771907,11.41753,0.1327749,21.65778,4.506,5.162,3.548,12.839,22.49002,0.4400135,0.76,1.8205966230000001,0.09884292150000001,1.0,2.339639316,0.017182165319999998,1.0,2.8194509500000002,0.021119970999999998,1.0,2.8946469439999998,0.026901017759999996,1.0,3.9802395989999995,0.02724669003,1.0,5.224833414,0.07582599512999999,1.0,8.851763378000001,0.37690578160000004,0.31,11.37897621,0.31843552859999996,0.35,12.84424779,0.4233076542,0.28,16.2565,0.579743,0.4,18.98018163,0.6702870744,0.32,21.715287449999998,1.0207462365,0.41,12.744684399999999,0.2139133514,1.0,17.6520013,0.4359212482,1.0,23.543482410000003,0.2576245824,1.1,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,38.683115312000005,0.14832260084,1.15,43.493149112000005,0.18375781508000003,1.08,31.550281958999996,3.9495647687999993,1.0,29.880268983000004,4.7106749084,1.0,1.0,0.0,0.28,0.0,0.0,1.0,0.76,0,0,1,85.99166,1,-99.0,1.6375,95.75,10.07,0,1,
1582,3880.226,522.668,34.2669067,-5.2949014,0,155.0,1.415781,0.07133923,1.065412,3.43541,0.9930421,0.07213978,1.771907,1.759578,0.127825,4.565174,4.801,3.905,2.891,10.08,4.86379,0.3257649,0.82,0.3193567878,0.11684138352000001,1.0,0.5530633668,0.019878497999999998,1.0,0.8254440310000001,0.0246468758,1.0,0.9716677055999999,0.031247201439999994,1.0,1.068119598,0.03208791558,1.0,1.104155365,0.08857840762000001,1.0,1.4518856640000002,0.35809376800000003,0.48,0.7924310037,0.3816289008,0.34,1.871084542,0.38354983109999996,0.45,3.24125,0.588101,0.55,4.261681215,0.6214765203000001,0.51,4.067026064999999,0.969846063,0.61,1.24222399,0.2461494126,1.0,2.59692876,0.5017381695,1.0,4.854034701,0.2987462088,1.09,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,10.3134006315,0.16593112355,0.98,12.744062478,0.19482097376000002,0.95,17.729965626,3.6118981203,1.0,30.525693937000003,5.5612071556,1.0,1.0,0.0,0.34,0.0,0.0,1.0,0.82,0,0,1,13.76553,1,-99.0,2.8413,15.75,11.709999999999999,0,1,1.0
1697,1528.712,537.917,34.3653145,-5.2942805,0,75.0,0.8129966,0.07090818,1.108394,2.599668,0.5402372,0.07170389,1.771907,0.9572501,0.1270526,1.906832,4.098,3.391,2.014,7.84,2.113521,0.2496835,0.83,0.07860236433000001,0.08817597621,1.0,-0.005492186604,0.01501865028,1.0,-0.019222635550000002,0.018661993600000003,1.0,0.03257722639999999,0.02364935104,1.0,0.05869116834,0.02413679226,1.0,0.10231583279999999,0.06731256411999999,1.0,0.3229406002,0.26697578980000003,0.48,0.1549869363,0.23907361589999998,0.48,0.24964321050000002,0.29818316419999996,0.44,0.48269,0.43182,0.56,0.1745995122,0.45399678660000004,0.52,2.2633087949999995,0.7441905059999999,0.6,0.08477008232,0.18964874739999998,1.0,0.2876373672,0.38341927600000003,1.0,2.294257797,0.2317419855,1.08,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,8.6687051905,0.15272824118,0.96,11.130999866000002,0.16565335738,0.99,19.057528682999997,3.2284163628,1.0,35.977155405,4.0644525989,1.0,1.0,0.0,0.44,0.0,0.0,1.0,0.83,0,0,1,7.53428,1,-99.0,4.4566,10.21,10.4,0,1,1.0
1702,2647.499,561.096,34.3184929,-5.2933097,3,445.0,10.94831,0.07361902,1.035271,3.220387,9.238753,0.07444515,1.771907,16.37021,0.1319099,34.05661,4.888,5.775,3.404,13.301,35.25781,0.4545915,0.77,7.03171731,0.10790807766,1.0,7.640016048,0.018772109279999998,1.0,12.8779894,0.023051284749999998,1.0,17.35212592,0.029399783519999997,1.0,18.59220867,0.029758262730000002,1.0,23.18551424,0.08279481754,1.0,24.499227160000004,0.44150568240000004,0.27,24.915161249999997,0.37649748149999995,0.3,28.6462797,0.468977584,0.27,32.4991,0.686896,0.34,33.93564606,0.7838353908,0.28,36.868886249999996,1.2800605049999998,0.31,27.84410496,0.233586136,1.0,33.25135953,0.4761555269,1.0,37.41126318,0.2824250868,1.09,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,23.529910891,0.15009687822,1.11,22.093681134,0.1821953903,1.1,21.068521913999998,4.0883416569,1.0,31.413472718999998,4.6043435921,1.0,1.0,0.0,0.27,0.0,0.0,1.0,0.77,0,0,1,124.1015,1,-99.0,0.4058,41.27,9.915999999999999,0,1,
